"","V1","Temas","hash"
"1",1,"Identificação política altera os temas científicos de interesse de cada grupo?","cb55511d643ab6390c60cca880f5d870"
"2",2,"O quanto mudanças sociais se correlacionam com mudanças no interesse pela ciência?","cb55511d643ab6390c60cca880f5d870"
"3",3,"Catálogo organizado de canais, podcasts e blogs.","cb55511d643ab6390c60cca880f5d870"
"4",4,"Podcast sobre temas de ciência aberta voltado para cientistas.","cb55511d643ab6390c60cca880f5d870"
"5",5,"Replicação do estudo do efeito do Twitter sobre citações, com divulgadores brasileiros.","cb55511d643ab6390c60cca880f5d870"
"6",6,"Uso de dados do Serrapilheira para mapear perfil de divulgadores no Brasil.","cb55511d643ab6390c60cca880f5d870"
"7",7,"Quais são os preprints que geram mais comentários pós-publicação?","cb55511d643ab6390c60cca880f5d870"
"8",8,"Como incentivar uma cultura de discussão e revisão pós-publicação de artigos?","cb55511d643ab6390c60cca880f5d870"
"9",9,"Quanto das publicações dos programas de pós-graduação estão em acesso aberto?","cb55511d643ab6390c60cca880f5d870"
"10",10,"Qual a relação entre o tempo até a publicação e o sucesso de replicações?","cb55511d643ab6390c60cca880f5d870"
"11",11,"Usando dados de revisões abertas, qual é a contribuição típica da revisão por pares?","cb55511d643ab6390c60cca880f5d870"
"12",12,"Quais são as barreiras socio-culturais para a abertura de dados científicos?","cb55511d643ab6390c60cca880f5d870"
"13",13,"Survey para analisar a percepção dos alunos PG sobre a formação de um cientista","cb55511d643ab6390c60cca880f5d870"
"14",14,"PPGs valorizam ciência aberta e reprodutível?","cb55511d643ab6390c60cca880f5d870"
"15",15,"Criação de disciplinas essenciais para a formação de cientistas","cb55511d643ab6390c60cca880f5d870"
"16",16,"Qual a porcentagem de artigos com dados disponíveis nos PPGs do Brasil?","cb55511d643ab6390c60cca880f5d870"
"17",17,"Page rank específico para projetos de divulgação científica","cb55511d643ab6390c60cca880f5d870"
"18",18,"A aproximação da academia com a divulgação científica leva a uma maior diversidade?","cb55511d643ab6390c60cca880f5d870"
"19",19,"Catálogo organizado de canais, podcasts e blogs.","523b801067d4531b1cea7207155b3d60"
"20",20,"Criação de uma startup para tomadas de decisões em relação a recursos hídricos","523b801067d4531b1cea7207155b3d60"
"21",21,"Identificação política altera os temas científicos de interesse de cada grupo?","523b801067d4531b1cea7207155b3d60"
"22",22,"Medir impacto e relevância de projetos de divulgação científica.","523b801067d4531b1cea7207155b3d60"
"23",23,"O quanto mudanças sociais se correlacionam com mudanças no interesse pela ciência?","523b801067d4531b1cea7207155b3d60"
"24",24,"A aproximação da academia com a divulgação científica leva a uma maior diversidade?","523b801067d4531b1cea7207155b3d60"
"25",25,"Identificação política altera os temas científicos de interesse de cada grupo?","36cda3ca8ff4000a9b09cdf7b0924552"
"26",26,"Replicação do estudo do efeito do Twitter sobre citações, com divulgadores brasileiros.","36cda3ca8ff4000a9b09cdf7b0924552"
"27",27,"O quão frequentes são metanálises conflitantes, e o que fazer com elas?","36cda3ca8ff4000a9b09cdf7b0924552"
"28",28,"Como realizar mapeamento de políticas integratórias na promoção da diversidade?","36cda3ca8ff4000a9b09cdf7b0924552"
"29",29,"Como institucionalizar práticas de dados abertos?","36cda3ca8ff4000a9b09cdf7b0924552"
"30",30,"Dados pseudoabertos: Quais dados parecem abertos mas não são realmente?","36cda3ca8ff4000a9b09cdf7b0924552"
"31",31,"Mapeamento das ferramentas e os conhecimentos necessários para acesso a clusters abertos","36cda3ca8ff4000a9b09cdf7b0924552"
"32",32,"Dados pseudoabertos: Quais dados parecem abertos mas não são realmente?","247e7bb5a004f4a8479b4050d38650c5"
"33",33,"O quão frequentes são metanálises conflitantes, e o que fazer com elas?","247e7bb5a004f4a8479b4050d38650c5"
"34",34,"Desenvolvimento de ferramentas que facilitem mineração de dados","247e7bb5a004f4a8479b4050d38650c5"
"35",35,"Síntese de evidências na área da ciência psicodélica","247e7bb5a004f4a8479b4050d38650c5"
"36",36,"Como realizar mapeamento de políticas integratórias na promoção da diversidade?","247e7bb5a004f4a8479b4050d38650c5"
"37",37,"Ferramenta para anotação colaborativa de dados públicos de transcritoma","247e7bb5a004f4a8479b4050d38650c5"
"38",38,"Quais são os preprints que geram mais comentários pós-publicação?","1e028a556a48adbac714b9c830dd6e56"
"39",39,"Por que a adesão a diretrizes de reporting é heterogênea entre áreas de pesquisa?","1e028a556a48adbac714b9c830dd6e56"
"40",40,"PPGs valorizam ciência aberta e reprodutível?","1e028a556a48adbac714b9c830dd6e56"
"41",41,"Criação de disciplinas essenciais para a formação de cientistas","1e028a556a48adbac714b9c830dd6e56"
"42",42,"Qual a porcentagem de docentes que publicam preprint, open access e deixam dados disponíveis?","1e028a556a48adbac714b9c830dd6e56"
"43",43,"Qual a porcentagem de artigos com dados disponíveis nos PPGs do Brasil?","1e028a556a48adbac714b9c830dd6e56"
"44",44,"Survey para analisar a percepção dos alunos PG sobre a formação de um cientista","b5d098e834602793950c50d22e8c9d15"
"45",45,"PPGs valorizam ciência aberta e reprodutível?","b5d098e834602793950c50d22e8c9d15"
"46",46,"Criação de um ranking No-Budget Science de ciência aberta e reprodutível","b5d098e834602793950c50d22e8c9d15"
"47",47,"Criação de disciplinas essenciais para a formação de cientistas","b5d098e834602793950c50d22e8c9d15"
"48",48,"Como ampliar a visibilidade de práticas de dados abertos e suas vantagens.","b5d098e834602793950c50d22e8c9d15"
"49",49,"Qual a porcentagem de docentes que publicam preprint, open access e deixam dados disponíveis?","b5d098e834602793950c50d22e8c9d15"
"50",50,"Podcast sobre temas de ciência aberta voltado para cientistas.","e0fdd740b64a262bcb09b0a941a29731"
"51",51,"Replicação do estudo do efeito do Twitter sobre citações, com divulgadores brasileiros.","e0fdd740b64a262bcb09b0a941a29731"
"52",52,"Uso de dados do Serrapilheira para mapear perfil de divulgadores no Brasil.","e0fdd740b64a262bcb09b0a941a29731"
"53",53,"O quanto o custo influencia quem publica preprints e artigos em open access?","e0fdd740b64a262bcb09b0a941a29731"
"54",54,"Usando dados de revisões abertas, qual é a contribuição típica da revisão por pares?","e0fdd740b64a262bcb09b0a941a29731"
"55",55,"Survey para analisar a percepção dos alunos PG sobre a formação de um cientista","e0fdd740b64a262bcb09b0a941a29731"
"56",56,"PPGs valorizam ciência aberta e reprodutível?","e0fdd740b64a262bcb09b0a941a29731"
"57",57,"Criação de disciplinas essenciais para a formação de cientistas","e0fdd740b64a262bcb09b0a941a29731"
"58",58,"Criação de um ranking No-Budget Science de ciência aberta e reprodutível","e0fdd740b64a262bcb09b0a941a29731"
"59",59,"Mapeamento das ferramentas e os conhecimentos necessários para acesso a clusters abertos","e0fdd740b64a262bcb09b0a941a29731"
"60",60,"Desenvolvimento de ferramentas que facilitem mineração de dados","e0fdd740b64a262bcb09b0a941a29731"
"61",61,"Uso do altmetrics para analisar se mulheres são mais propensas a divulgar suas pesquisas","e0fdd740b64a262bcb09b0a941a29731"
"62",62,"Survey para analisar a percepção dos alunos PG sobre a formação de um cientista","3e2521f7b09f70e0de4b47feb5a9d842"
"63",63,"PPGs valorizam ciência aberta e reprodutível?","3e2521f7b09f70e0de4b47feb5a9d842"
"64",64,"Criação de disciplinas essenciais para a formação de cientistas","3e2521f7b09f70e0de4b47feb5a9d842"
"65",65,"Como ampliar a visibilidade de práticas de dados abertos e suas vantagens.","3e2521f7b09f70e0de4b47feb5a9d842"
"66",66,"Como rastrear a reprodutibilidade de artigos publicados?","3e2521f7b09f70e0de4b47feb5a9d842"
"67",67,"Quanto controle de qualidade metodológico de fato ocorre em bancas e comitês de ética?","3e2521f7b09f70e0de4b47feb5a9d842"
"68",68,"Como ampliar a visibilidade de práticas de dados abertos e suas vantagens.","df3e030d9e5e11b933c2d674e6be8cc9"
"69",69,"Como institucionalizar práticas de dados abertos?","df3e030d9e5e11b933c2d674e6be8cc9"
"70",70,"O quão frequentes são metanálises conflitantes, e o que fazer com elas?","df3e030d9e5e11b933c2d674e6be8cc9"
"71",71,"Criação de disciplinas essenciais para a formação de cientistas","df3e030d9e5e11b933c2d674e6be8cc9"
"72",72,"Qual a porcentagem de docentes que publicam preprint, open access e deixam dados disponíveis?","df3e030d9e5e11b933c2d674e6be8cc9"
"73",73,"Criação de um hub para depósito de modelos científicos brasileiros para epidemias e doenças","df3e030d9e5e11b933c2d674e6be8cc9"
"74",74,"Survey para analisar a percepção dos alunos PG sobre a formação de um cientista","42f2de9949907e07fb52cfc6fde4b7fa"
"75",75,"Uso de dados do Serrapilheira para mapear perfil de divulgadores no Brasil.","42f2de9949907e07fb52cfc6fde4b7fa"
